고객ID,요금제,누적결제금액,최근주문경과일,만족도점수,이탈여부,이탈확률,위험등급
C100076,Basic,62400,54,3.0,1,0.916,높음
C100077,Premium,621100,3,3.6,0,0.193,낮음
C100078,Basic,2112000,2,2.0,0,0.203,낮음
C100079,Basic,1081100,0,3.6,0,0.253,낮음
C100080,Standard,587400,16,2.6,1,0.635,높음
C100081,Basic,201900,19,3.0,0,0.508,중간
C100082,Standard,598500,24,5.0,0,0.197,낮음
C100083,Basic,4120300,42,4.1,0,0.411,중간
C100084,Basic,755800,58,2.8,0,0.869,높음
C100085,Standard,1371300,16,4.6,0,0.15,낮음
C100086,Premium,12212500,48,3.6,0,0.262,낮음
C100087,Standard,1107700,10,4.2,0,0.21,낮음
C100088,Basic,197200,42,3.0,1,0.886,높음
C100089,Premium,7195200,26,3.9,0,0.112,낮음
C100090,Basic,269900,6,3.3,0,0.389,중간
C100091,Basic,842400,65,3.6,0,0.896,높음
C100092,Basic,560000,6,3.2,0,0.395,중간
C100093,Basic,663800,11,4.3,0,0.269,낮음
C100094,Standard,3319800,2,3.7,0,0.092,낮음
C100095,Basic,3384000,0,2.1,0,0.355,중간
C100096,Basic,1060200,23,3.9,1,0.636,높음
C100097,Standard,574600,57,3.2,1,0.751,높음
C100098,Standard,379400,39,4.4,0,0.417,중간
C100099,Basic,985600,0,3.4,0,0.198,낮음
C100100,Basic,150300,89,4.3,1,0.878,높음
C100101,Standard,489600,33,5.0,0,0.586,중간
C100102,Basic,1102500,7,4.3,0,0.324,중간
C100103,Basic,331100,0,4.3,0,0.22,낮음
C100104,Standard,1308200,0,4.1,0,0.111,낮음
C100105,Standard,783000,28,4.5,0,0.525,중간
C100106,Basic,676100,47,4.0,1,0.544,중간
C100107,Basic,807500,22,3.1,0,0.742,높음
C100108,Standard,594000,39,3.2,0,0.6,중간
C100109,Standard,278800,55,3.3,0,0.685,높음
C100110,Standard,973400,6,1.9,0,0.279,낮음
C100111,Standard,1728000,13,4.4,0,0.173,낮음
C100112,Premium,349900,0,3.2,0,0.112,낮음
C100113,Basic,54200,39,2.7,1,0.876,높음
C100114,Standard,1533000,7,3.4,0,0.173,낮음
C100115,Basic,1319000,105,2.1,1,0.959,높음
C100116,Premium,1374800,0,3.8,0,0.15,낮음
C100117,Standard,264000,18,3.4,0,0.373,중간
C100118,Basic,389200,63,2.3,1,0.947,높음
C100119,Standard,1056300,2,4.9,0,0.119,낮음
C100120,Basic,498600,10,3.4,0,0.314,중간
C100121,Basic,775000,8,3.6,0,0.138,낮음
C100122,Basic,729300,44,4.4,1,0.617,높음
C100123,Basic,633200,25,4.5,0,0.588,중간
C100124,Standard,1575000,43,3.8,0,0.464,중간
C100125,Basic,2528000,20,3.3,0,0.585,중간
C100126,Standard,545500,23,3.5,0,0.429,중간
C100127,Basic,278900,11,3.2,0,0.4,중간
C100128,Basic,432600,55,4.1,0,0.765,높음
C100129,Premium,10226900,0,4.0,0,0.048,낮음
C100130,Basic,191800,75,1.1,0,0.985,높음
C100131,Basic,1361700,7,5.0,1,0.371,중간
C100132,Premium,995200,0,4.8,0,0.081,낮음
C100133,Basic,95300,15,3.4,1,0.686,높음
C100134,Basic,867800,0,4.2,0,0.196,낮음
C100135,Basic,693800,54,3.6,0,0.686,높음
C100136,Premium,3666200,0,3.5,0,0.083,낮음
C100137,Basic,683800,3,3.7,0,0.239,낮음
C100138,Standard,56100,0,4.5,0,0.167,낮음
C100139,Basic,524000,4,3.4,0,0.326,중간
C100140,Basic,3962600,24,1.4,0,0.694,높음
C100141,Standard,1068500,12,3.4,1,0.506,중간
C100142,Standard,443900,0,2.6,0,0.273,낮음
C100143,Basic,547400,12,3.5,0,0.355,중간
C100144,Basic,887100,42,2.2,0,0.926,높음
C100145,Standard,264200,47,2.9,0,0.817,높음
C100146,Premium,888800,0,4.3,0,0.118,낮음
C100147,Standard,210600,42,4.3,0,0.358,중간
C100148,Basic,568100,47,2.9,0,0.803,높음
C100149,Basic,128000,42,5.0,0,0.549,중간
C100150,Basic,1317000,0,4.7,0,0.118,낮음
C100151,Standard,1510100,1,4.5,0,0.13,낮음
C100152,Standard,247400,35,3.7,1,0.575,중간
C100153,Basic,816600,34,2.1,1,0.737,높음
C100154,Basic,1065200,32,3.2,0,0.633,높음
C100155,Standard,987200,16,4.2,0,0.219,낮음
C100156,Basic,931200,87,2.4,0,0.967,높음
C100157,Basic,3484300,40,4.9,0,0.498,중간
C100158,Basic,294500,2,2.3,0,0.341,중간
C100159,Standard,390700,4,3.1,0,0.327,중간
C100160,Basic,785400,42,5.0,0,0.497,중간
C100161,Basic,627900,0,3.9,0,0.269,낮음
C100162,Basic,547000,0,2.2,0,0.431,중간
C100163,Basic,982500,0,4.4,0,0.219,낮음
C100164,Premium,8422700,2,2.7,0,0.122,낮음
C100165,Standard,1842100,31,4.8,0,0.185,낮음
C100166,Standard,308900,78,4.1,0,0.91,높음
C100167,Premium,927400,0,5.0,0,0.032,낮음
C100168,Standard,3961400,0,3.7,0,0.084,낮음
C100169,Basic,308700,1,3.6,1,0.34,중간
C100170,Basic,323000,0,2.8,0,0.294,낮음
C100171,Premium,2675400,7,3.9,0,0.083,낮음
C100172,Basic,539400,12,1.9,0,0.586,중간
C100173,Standard,613600,30,4.5,0,0.371,중간
C100174,Standard,449300,14,3.5,0,0.291,낮음
C100175,Standard,2270600,6,2.6,0,0.209,낮음
C100176,Basic,1150600,33,4.0,0,0.714,높음
C100177,Basic,641800,14,3.9,0,0.309,중간
C100178,Premium,6705900,22,3.7,0,0.211,낮음
C100179,Standard,1992600,38,2.5,0,0.487,중간
C100180,Basic,1209600,0,3.2,0,0.261,낮음
C100181,Basic,1803200,14,5.0,1,0.349,중간
C100182,Standard,244800,0,3.4,0,0.184,낮음
C100183,Basic,412200,0,2.6,0,0.351,중간
C100184,Standard,277800,43,4.5,0,0.46,중간
C100185,Standard,1340600,41,4.0,0,0.461,중간
C100186,Standard,1566200,16,5.0,0,0.26,낮음
C100187,Basic,872300,27,3.0,0,0.451,중간
C100188,Basic,1161200,17,4.1,0,0.523,중간
C100189,Basic,409600,60,4.0,1,0.918,높음
C100190,Standard,544700,90,3.1,1,0.875,높음
C100191,Standard,350400,3,3.6,0,0.314,중간
C100192,Basic,2459200,82,3.6,0,0.903,높음
C100193,Standard,1408600,23,3.6,0,0.219,낮음
C100194,Basic,2023700,0,3.8,0,0.233,낮음
C100195,Standard,233100,0,3.5,0,0.194,낮음
C100196,Basic,499000,29,2.5,0,0.608,높음
C100197,Basic,4616200,46,2.9,0,0.745,높음
C100198,Basic,1260000,0,4.0,0,0.183,낮음
C100199,Standard,2985800,17,4.2,0,0.112,낮음
C100200,Basic,457400,21,3.7,1,0.71,높음
C100201,Standard,183500,27,2.7,0,0.792,높음
C100202,Standard,8812800,49,5.0,0,0.371,중간
C100203,Standard,1450800,3,3.9,0,0.14,낮음
C100204,Premium,8109600,5,4.2,0,0.139,낮음
C100205,Basic,5194800,28,3.8,0,0.261,낮음
C100206,Premium,3550100,4,2.6,0,0.168,낮음
C100207,Basic,8365500,27,3.1,0,0.553,중간
C100208,Basic,1586900,8,1.4,1,0.699,높음
C100209,Basic,237600,2,3.8,0,0.233,낮음
C100210,Standard,878400,4,3.6,0,0.273,낮음
C100211,Premium,488400,14,3.6,0,0.257,낮음
C100212,Standard,486600,3,2.5,1,0.393,중간
C100213,Standard,3417300,9,3.8,0,0.263,낮음
C100214,Standard,1094400,16,3.7,0,0.419,중간
C100215,Basic,1288800,0,4.0,0,0.187,낮음
C100216,Basic,466600,23,4.2,0,0.697,높음
C100217,Standard,1197700,43,3.3,0,0.76,높음
C100218,Premium,1286000,16,3.1,0,0.241,낮음
C100219,Premium,1528000,20,4.3,0,0.287,낮음
C100220,Basic,7071500,0,4.9,0,0.05,낮음
C100221,Standard,333200,0,1.6,0,0.405,중간
C100222,Standard,304400,0,4.0,0,0.203,낮음
C100223,Basic,2054000,0,3.8,0,0.238,낮음
C100224,Standard,1049800,53,3.6,0,0.828,높음
C100225,Premium,1986400,14,4.3,0,0.196,낮음
C100226,Basic,324000,23,2.7,0,0.52,중간
C100227,Basic,1492300,12,2.2,0,0.416,중간
C100228,Standard,1904000,16,2.7,0,0.434,중간
C100229,Standard,1019300,33,3.6,1,0.44,중간
C100230,Standard,221800,43,4.8,0,0.662,높음
C100231,Premium,1101600,42,3.4,0,0.577,중간
C100232,Basic,480900,18,3.4,1,0.677,높음
C100233,Standard,687000,15,1.4,0,0.646,높음
C100234,Premium,905100,32,4.0,0,0.183,낮음
C100235,Premium,1002200,88,1.6,0,0.922,높음
C100236,Standard,460500,28,4.1,0,0.492,중간
C100237,Standard,1918800,16,3.6,0,0.203,낮음
C100238,Premium,1202300,13,4.7,0,0.244,낮음
C100239,Basic,260800,38,3.6,1,0.744,높음
C100240,Basic,1783000,0,4.4,0,0.112,낮음
C100241,Premium,821300,10,2.7,0,0.457,중간
C100242,Standard,930200,4,1.8,0,0.433,중간
C100243,Premium,1902300,9,4.0,0,0.106,낮음
C100244,Basic,1255400,4,4.5,0,0.143,낮음
C100245,Basic,716000,29,2.3,1,0.818,높음
C100246,Standard,1664000,37,5.0,1,0.565,중간
C100247,Premium,954200,37,3.4,0,0.549,중간
C100248,Basic,904000,0,4.1,0,0.229,낮음
C100249,Standard,550600,29,3.6,0,0.397,중간
C100250,Standard,80600,12,2.9,0,0.666,높음
C100251,Basic,3133500,36,4.5,0,0.24,낮음
C100252,Basic,752000,15,3.6,0,0.565,중간
C100253,Standard,2990800,0,3.0,0,0.203,낮음
C100254,Basic,969700,0,4.9,0,0.158,낮음
C100255,Standard,1347900,0,3.6,0,0.117,낮음
C100256,Basic,697000,40,3.4,0,0.612,높음
C100257,Standard,1046200,3,3.6,0,0.181,낮음
C100258,Basic,852600,0,3.6,0,0.306,중간
C100259,Standard,1260000,115,2.1,1,0.981,높음
C100260,Standard,169200,16,2.0,0,0.77,높음
C100261,Basic,159600,39,3.4,0,0.706,높음
C100262,Basic,1792600,38,5.0,0,0.401,중간
C100263,Standard,373000,0,4.2,0,0.214,낮음
C100264,Basic,849000,120,1.9,1,0.995,높음
C100265,Standard,596600,16,3.3,0,0.436,중간
C100266,Basic,1116200,14,3.7,1,0.641,높음
C100267,Basic,1306800,0,3.6,0,0.214,낮음
C100268,Standard,1296400,76,3.5,1,0.74,높음
C100269,Basic,643200,9,3.2,1,0.482,중간
C100270,Standard,870400,17,4.4,0,0.181,낮음
C100271,Standard,132500,18,3.6,0,0.683,높음
C100272,Standard,2862000,0,2.1,0,0.198,낮음
C100273,Standard,1044200,57,3.0,1,0.901,높음
C100274,Basic,222600,30,3.6,1,0.794,높음
C100275,Standard,114000,26,4.1,0,0.437,중간
C100276,Standard,1742800,20,2.1,1,0.541,중간
C100277,Standard,1233600,64,2.0,1,0.945,높음
C100278,Premium,4157400,30,3.2,0,0.136,낮음
C100279,Basic,423400,17,2.9,0,0.51,중간
C100280,Basic,550500,29,4.5,0,0.344,중간
C100281,Basic,6781300,8,3.8,0,0.234,낮음
C100282,Premium,3553700,78,3.3,1,0.679,높음
C100283,Standard,188800,39,2.1,1,0.911,높음
C100284,Basic,21400,5,3.2,0,0.51,중간
C100285,Basic,655200,30,3.9,1,0.714,높음
C100286,Standard,597400,39,3.3,1,0.763,높음
C100287,Basic,89100,32,3.6,0,0.77,높음
C100288,Basic,1487600,9,3.6,0,0.253,낮음
C100289,Standard,1440600,18,3.7,0,0.541,중간
C100290,Premium,2368800,0,3.6,0,0.075,낮음
C100291,Basic,465400,1,2.9,0,0.358,중간
C100292,Standard,1284500,38,4.0,0,0.63,높음
C100293,Standard,1185600,31,4.2,0,0.452,중간
C100294,Premium,1236400,82,2.8,0,0.878,높음
C100295,Basic,89700,18,4.7,0,0.686,높음
C100296,Premium,4240300,0,3.6,0,0.099,낮음
C100297,Basic,381900,38,4.4,0,0.549,중간
C100298,Standard,1760600,49,4.4,0,0.498,중간
C100299,Premium,9633500,26,3.0,0,0.162,낮음
C100300,Basic,945800,3,2.6,0,0.449,중간
C100301,Standard,144600,0,4.6,0,0.144,낮음
C100302,Standard,217500,4,2.8,0,0.423,중간
C100303,Standard,592000,1,1.4,0,0.487,중간
C100304,Standard,176400,0,4.5,0,0.2,낮음
C100305,Basic,1078800,0,3.2,0,0.221,낮음
C100306,Premium,639900,10,4.1,0,0.153,낮음
C100307,Standard,531400,8,3.2,0,0.25,낮음
C100308,Basic,3221700,6,5.0,0,0.133,낮음
C100309,Premium,955700,0,3.1,0,0.13,낮음
C100310,Standard,432000,21,2.7,1,0.585,중간
C100311,Standard,8382700,0,1.0,0,0.344,중간
C100312,Standard,98800,40,4.5,0,0.507,중간
C100313,Basic,884000,0,3.5,0,0.277,낮음
C100314,Standard,1144800,51,4.4,0,0.712,높음
C100315,Premium,2241500,50,4.7,0,0.606,높음
C100316,Premium,2300000,4,2.5,0,0.212,낮음
C100317,Premium,1941800,9,5.0,0,0.063,낮음
C100318,Basic,307700,0,3.6,0,0.31,중간
C100319,Standard,4815400,11,4.4,0,0.396,중간
C100320,Standard,309800,25,3.4,0,0.45,중간
C100321,Standard,7784600,48,4.3,0,0.517,중간
C100322,Basic,392200,40,3.1,0,0.65,높음
C100323,Basic,1692600,26,4.7,0,0.546,중간
C100324,Premium,651600,0,2.0,0,0.297,낮음
C100325,Standard,670300,0,2.7,0,0.207,낮음
C100326,Premium,789400,15,4.2,0,0.184,낮음
C100327,Basic,308000,76,3.2,1,0.966,높음
C100328,Basic,772300,22,3.9,0,0.428,중간
C100329,Basic,2425500,3,4.3,0,0.239,낮음
C100330,Standard,1571400,25,3.4,1,0.605,높음
C100331,Basic,304600,0,3.8,0,0.272,낮음
C100332,Premium,801500,34,5.0,0,0.393,중간
C100333,Standard,469800,9,3.9,0,0.297,낮음
C100334,Standard,858400,1,1.6,0,0.336,중간
C100335,Standard,3260200,0,4.1,0,0.08,낮음
C100336,Basic,69400,61,1.8,1,0.909,높음
C100337,Standard,216700,20,2.7,0,0.755,높음
C100338,Basic,2917200,5,3.0,0,0.465,중간
C100339,Basic,182900,17,3.2,0,0.589,중간
C100340,Basic,2693400,19,4.3,1,0.459,중간
C100341,Standard,954900,6,3.9,0,0.215,낮음
C100342,Basic,1239800,31,4.1,0,0.497,중간
C100343,Standard,2560400,7,2.4,0,0.293,낮음
C100344,Premium,1638000,0,3.8,0,0.069,낮음
C100345,Standard,665300,6,4.8,0,0.144,낮음
C100346,Standard,495000,21,2.9,0,0.515,중간
C100347,Basic,120100,18,4.1,0,0.334,중간
C100348,Standard,2345000,5,3.7,0,0.194,낮음
C100349,Premium,432800,0,3.2,0,0.181,낮음
C100350,Basic,1587300,33,3.8,0,0.529,중간
C100351,Basic,1293600,23,3.2,0,0.721,높음
C100352,Basic,1511200,22,2.9,1,0.356,중간
C100353,Basic,773800,27,3.6,0,0.678,높음
C100354,Basic,359500,20,3.4,1,0.671,높음
C100355,Basic,1219700,55,3.1,0,0.726,높음
C100356,Standard,285100,0,3.5,0,0.19,낮음
C100357,Basic,2037400,28,4.6,0,0.578,중간
C100358,Basic,180600,30,3.8,0,0.767,높음
C100359,Basic,972700,0,3.9,0,0.273,낮음
C100360,Standard,756000,16,3.7,0,0.249,낮음
C100361,Basic,5129500,10,2.1,1,0.34,중간
C100362,Basic,184800,61,4.3,1,0.918,높음
C100363,Basic,190300,21,3.3,1,0.792,높음
C100364,Basic,997200,12,2.2,1,0.581,중간
C100365,Premium,2638600,59,3.7,0,0.6,중간
C100366,Standard,8165800,24,1.7,0,0.347,중간
C100367,Basic,410700,41,2.3,1,0.796,높음
C100368,Basic,893800,39,3.9,1,0.74,높음
C100369,Basic,1309900,106,1.5,1,0.992,높음
C100370,Standard,3009500,10,3.7,0,0.351,중간
C100371,Premium,5946300,7,3.5,0,0.08,낮음
C100372,Standard,577800,32,3.0,1,0.751,높음
C100373,Standard,808500,31,3.8,0,0.358,중간
C100374,Standard,714800,41,4.5,1,0.486,중간
C100375,Standard,591000,14,3.5,0,0.253,낮음
C100376,Premium,616400,17,3.8,1,0.287,낮음
C100377,Standard,772800,48,4.3,0,0.747,높음
C100378,Basic,4082400,0,3.6,0,0.179,낮음
C100379,Basic,1600500,21,3.2,0,0.587,중간
C100380,Standard,2992000,55,4.0,0,0.679,높음
C100381,Standard,4374700,26,3.3,0,0.493,중간
C100382,Standard,423000,21,2.0,0,0.599,중간
C100383,Basic,352300,20,3.8,1,0.628,높음
C100384,Standard,244800,15,4.6,0,0.209,낮음
C100385,Standard,292300,5,4.8,0,0.115,낮음
C100386,Basic,10096200,0,4.9,0,0.06,낮음
C100387,Basic,492500,7,1.9,0,0.533,중간
C100388,Standard,457600,23,5.0,0,0.246,낮음
C100389,Basic,961700,13,3.0,0,0.625,높음
C100390,Basic,3990100,55,3.9,0,0.576,중간
C100391,Basic,2498400,0,5.0,0,0.099,낮음
C100392,Standard,5532800,10,2.7,0,0.241,낮음
C100393,Standard,1592000,8,5.0,0,0.164,낮음
C100394,Standard,3484800,0,3.1,0,0.161,낮음
C100395,Standard,2464000,0,3.5,0,0.156,낮음
C100396,Basic,1387200,3,3.5,0,0.278,낮음
C100397,Standard,15225800,0,3.4,0,0.045,낮음
C100398,Basic,1341100,27,2.8,0,0.52,중간
C100399,Standard,579200,4,2.2,1,0.385,중간
C100400,Standard,326400,19,2.8,1,0.592,중간
C100401,Premium,626300,56,3.5,1,0.564,중간
C100402,Standard,552300,10,3.6,0,0.158,낮음
C100403,Basic,758200,5,3.4,1,0.35,중간
C100404,Standard,1820900,17,4.5,0,0.147,낮음
C100405,Premium,696000,14,4.8,0,0.296,낮음
C100406,Premium,4041700,0,3.6,0,0.038,낮음
C100407,Standard,4631400,5,3.6,0,0.136,낮음
C100408,Standard,965400,14,4.3,0,0.264,낮음
C100409,Premium,985600,0,4.7,0,0.031,낮음
C100410,Basic,1147200,7,3.1,0,0.498,중간
C100411,Premium,2626400,0,2.8,0,0.109,낮음
C100412,Basic,1526200,27,4.0,0,0.471,중간
C100413,Basic,1500400,45,3.8,1,0.767,높음
C100414,Premium,1444000,0,2.8,0,0.233,낮음
C100415,Premium,9445800,13,2.7,0,0.084,낮음
C100416,Standard,3502800,0,3.3,0,0.217,낮음
C100417,Basic,6069000,14,3.6,0,0.467,중간
C100418,Standard,246600,0,3.6,0,0.158,낮음
C100419,Basic,907200,1,3.6,0,0.37,중간
C100420,Basic,5624000,41,2.8,0,0.742,높음
C100421,Basic,1140500,3,2.2,0,0.407,중간
C100422,Premium,2349100,53,1.0,1,0.897,높음
C100423,Basic,2782300,0,4.4,0,0.23,낮음
C100424,Standard,91400,81,3.7,1,0.873,높음
C100425,Premium,3773700,0,4.0,0,0.099,낮음
C100426,Basic,67300,35,3.6,0,0.671,높음
C100427,Standard,2230000,16,3.3,0,0.374,중간
C100428,Standard,376000,0,4.0,0,0.101,낮음
C100429,Standard,269800,0,1.7,0,0.435,중간
C100430,Basic,539100,4,3.5,0,0.239,낮음
C100431,Basic,3469900,25,3.9,1,0.311,중간
C100432,Premium,1924000,19,3.5,0,0.233,낮음
C100433,Basic,238400,11,4.1,0,0.353,중간
C100434,Basic,766100,26,5.0,0,0.329,중간
C100435,Standard,1841400,11,3.7,0,0.159,낮음
C100436,Basic,324900,15,5.0,0,0.189,낮음
C100437,Premium,366500,17,2.4,0,0.57,중간
C100438,Standard,1014300,21,3.3,0,0.629,높음
C100439,Basic,2004800,0,3.1,0,0.232,낮음
C100440,Basic,88000,1,2.7,0,0.372,중간
C100441,Premium,509000,1,2.9,0,0.206,낮음
C100442,Basic,9303300,15,3.5,0,0.404,중간
C100443,Standard,6470400,61,3.8,1,0.716,높음
C100444,Basic,107300,21,5.0,0,0.24,낮음
C100445,Premium,1844200,0,4.5,0,0.055,낮음
C100446,Standard,1505300,53,1.9,0,0.794,높음
C100447,Standard,2058800,7,5.0,0,0.113,낮음
C100448,Basic,372700,0,3.1,0,0.31,중간
C100449,Basic,3309100,32,2.0,0,0.429,중간
C100450,Premium,1416800,0,4.2,0,0.071,낮음
C100451,Basic,615400,12,3.9,1,0.29,낮음
C100452,Standard,4380400,7,4.8,0,0.206,낮음
C100453,Standard,659700,26,3.0,0,0.612,높음
C100454,Basic,1489200,32,2.9,0,0.616,높음
C100455,Standard,803600,0,4.2,0,0.082,낮음
C100456,Premium,586400,44,3.6,1,0.698,높음
C100457,Premium,4687800,3,4.5,0,0.072,낮음
C100458,Basic,489800,49,2.2,0,0.861,높음
C100459,Standard,609800,24,2.9,0,0.472,중간
C100460,Premium,1562900,0,5.0,0,0.042,낮음
C100461,Standard,3055400,32,2.7,0,0.713,높음
C100462,Basic,1551600,2,4.7,0,0.127,낮음
C100463,Basic,442200,0,2.2,0,0.497,중간
C100464,Basic,2502400,0,2.5,0,0.225,낮음
C100465,Basic,393100,12,3.6,0,0.31,중간
C100466,Standard,3503400,64,4.4,0,0.732,높음
C100467,Basic,1151300,24,3.9,0,0.57,중간
C100468,Standard,2057800,8,4.0,0,0.113,낮음
C100469,Premium,1166800,0,4.8,0,0.061,낮음
C100470,Basic,451400,108,3.3,1,0.98,높음
C100471,Standard,291600,13,2.5,0,0.697,높음
C100472,Standard,2133200,0,4.0,0,0.18,낮음
C100473,Basic,761000,13,4.4,0,0.313,중간
C100474,Basic,2050900,58,2.6,0,0.871,높음
C100475,Basic,1653800,48,4.6,1,0.555,중간
C100476,Standard,2216500,0,2.6,0,0.185,낮음
C100477,Basic,726700,14,2.8,0,0.364,중간
C100478,Basic,4361600,0,4.5,0,0.099,낮음
C100479,Premium,993200,2,3.6,0,0.146,낮음
C100480,Premium,5289900,19,3.5,0,0.21,낮음
C100481,Standard,795300,23,3.2,0,0.642,높음
C100482,Standard,334000,0,4.8,0,0.133,낮음
C100483,Premium,3210200,20,2.3,0,0.29,낮음
C100484,Standard,1042700,0,5.0,0,0.095,낮음
C100485,Standard,1450100,5,3.6,0,0.277,낮음
C100486,Standard,2604000,0,2.6,0,0.112,낮음
C100487,Basic,2328500,0,3.4,0,0.164,낮음
C100488,Basic,10159200,37,2.7,1,0.451,중간
C100489,Basic,1115600,24,4.9,0,0.218,낮음
C100490,Basic,1683200,19,2.9,0,0.578,중간
C100491,Basic,1452400,3,4.9,0,0.192,낮음
C100492,Basic,635200,34,2.4,1,0.681,높음
C100493,Basic,965100,0,3.0,0,0.157,낮음
C100494,Premium,1956200,0,4.7,0,0.033,낮음
C100495,Standard,113000,25,3.6,0,0.428,중간
C100496,Basic,786500,1,3.2,0,0.277,낮음
C100497,Standard,333000,65,4.0,0,0.76,높음
C100498,Standard,1418800,10,1.8,0,0.614,높음
C100499,Standard,788500,18,4.9,1,0.432,중간
C100500,Standard,2175100,0,2.7,0,0.163,낮음
C100501,Basic,2015300,19,3.6,0,0.377,중간
C100502,Standard,373400,30,3.2,0,0.56,중간
C100503,Standard,729300,41,3.8,0,0.694,높음
C100504,Standard,394600,0,2.3,0,0.311,중간
C100505,Basic,1491600,11,3.1,0,0.327,중간
C100506,Basic,532400,0,2.2,0,0.458,중간
C100507,Basic,73900,35,3.6,1,0.841,높음
C100508,Basic,158300,13,5.0,0,0.436,중간
C100509,Basic,2831800,34,3.5,1,0.519,중간
C100510,Basic,1091200,31,5.0,0,0.29,낮음
C100511,Premium,698700,19,2.4,0,0.615,높음
C100512,Basic,345400,5,4.2,0,0.214,낮음
C100513,Standard,1528800,12,3.6,0,0.194,낮음
C100514,Premium,2219000,4,3.1,0,0.2,낮음
C100515,Standard,1315800,0,5.0,0,0.094,낮음
