년월일,최대순간풍속(m/s),평균기온(℃),최저기온(℃),최고기온(℃),일강수량(mm),최저습도(%),최고습도(%),최저기압(hPa),최고기압(hPa)
2019-02-26,8.2,5.3,-1.5,12,0,16,52,"1,021.80","1,026.30"
2019-02-27,8.3,9.4,4.7,14,0,21,41,"1,018.60","1,024"
2019-02-28,8.4,7.4,2,12.8,0,24,52,"1,016.60","1,020.30"
2019-03-01,8.6,7.1,1.2,13,0,22,60,"1,020.20","1,023.30"
2019-03-02,5.4,8,1.3,14.7,0,19,63,"1,016.50","1,022"
2019-03-03,6.4,9.3,2.5,16.1,0,15,52,"1,010.10","1,017"
2019-03-04,7.6,10.7,5,16.3,0,19,75,"1,010.10","1,018.30"
2019-03-05,7.3,9.3,5.6,12.9,0,40,82,"1,018.30","1,021.40"
2019-03-06,7.2,9.1,5.7,12.4,0,43,68,"1,013.40","1,019.70"
2019-03-07,8.9,7.9,3.1,12.7,0,26,77,"1,015.30","1,023.50"
2019-03-08,8,7,0.6,13.4,0,17,58,"1,023.30","1,026.30"
2019-03-09,6.3,7.3,-0.4,14.9,0,10,65,"1,019.10","1,025.50"
2019-03-10,5.8,11,6.7,15.3,0,12,49,"1,010","1,019.30"
2019-03-11,7.5,6.8,3.5,10,0,38,83,"1,007.50","1,011.40"
2019-03-12,11,3.8,-0.3,7.9,0,21,87,"1,008.80","1,017"
2019-03-13,14.9,4.1,-0.4,8.5,0,14,55,"1,017","1,024.30"
2019-03-14,7.3,4.2,-1.7,10,0,18,77,"1,020.10","1,025.10"
2019-03-15,9.8,6.5,1.6,11.3,3.5,24,94,"1,011.20","1,021.40"
2019-03-16,8.1,4.7,0.2,9.2,0,38,95,"1,017.90","1,022.20"
2019-03-17,9,7.5,2.6,12.4,0,24,84,"1,020.90","1,024.70"
2019-03-18,7.8,7.9,1.4,14.4,0,20,78,"1,017","1,024.20"
2019-03-19,6.7,10.1,3.4,16.7,0,20,81,"1,014.70","1,018.40"
2019-03-20,7.9,10.9,7.1,14.6,16.5,42,96,"1,000.40","1,018.30"
2019-03-21,11.3,6.5,1.9,11.1,3.3,49,98,999.6,"1,016.90"
2019-03-22,9.5,3.8,-0.7,8.3,0,20,63,"1,016.90","1,022.70"
2019-03-23,12.8,3.9,-0.4,8.2,1.7,25,93,"1,018.20","1,023.20"
2019-03-24,10.6,4.5,-0.8,9.7,0,27,64,"1,018.80","1,023.30"
2019-03-25,8.8,7.2,2.9,11.5,0,43,69,"1,015","1,020.60"
2019-03-26,8.9,12.5,7.4,17.6,0,23,83,"1,015.80","1,018.80"
2019-03-27,12,12.6,8.9,16.2,0,44,82,"1,009","1,017"
2019-03-28,7.9,10.1,5.6,14.6,0,16,85,"1,011.50","1,015.60"
2019-03-29,7.9,10.3,5.5,15.1,0,17,47,"1,012.10","1,015.10"
2019-03-30,13,6,3.5,8.4,1.8,35,93,"1,010","1,015"
2019-03-31,10,5.5,2.6,8.4,0,20,72,"1,014","1,022.90"
2019-04-01,11.6,5.8,0.3,11.3,0,15,67,"1,020.50","1,024.30"
2019-04-02,9.9,7.2,1.3,13,0,15,61,"1,020","1,024.20"
2019-04-03,10.4,7.8,1.9,13.6,0,14,66,"1,021.10","1,025.10"
2019-04-04,10,9.4,3,15.7,0,21,73,"1,013.20","1,023.10"
2019-04-05,11.5,12.1,7,17.2,0,13,86,"1,007","1,013.60"
2019-04-06,7.1,9.1,5.9,12.2,0.8,21,76,"1,009.90","1,013.90"
2019-04-07,8.4,13,5.6,20.3,0,12,89,"1,007.30","1,012.90"
2019-04-08,9.8,12.4,7.6,17.2,0,10,35,"1,011.30","1,018.90"
2019-04-09,12.5,9.3,4.7,13.9,17.4,16,92,"1,011.80","1,019.30"
2019-04-10,7.6,7.5,4.7,10.2,5.6,61,91,"1,010.70","1,015.80"
2019-04-11,8.8,10,4.3,15.7,0,17,92,"1,013.20","1,016.60"
2019-04-12,9.2,12,5.5,18.4,0,19,84,"1,016","1,020.40"
2019-04-13,9.6,12.1,6.2,17.9,0,14,66,"1,017.80","1,021.60"
2019-04-14,12.8,10.3,6.9,13.6,1.7,20,89,"1,011.50","1,018.10"
2019-04-15,10.4,11,3.9,18.1,0,13,50,"1,017.40","1,019.80"
2019-04-16,7.3,14.7,6.8,22.6,0,10,56,"1,014.50","1,020"
2019-04-17,10.2,15.5,9.1,21.8,0,16,64,"1,010.20","1,015.70"
2019-04-18,10.4,13.3,10.4,16.2,0,55,93,"1,010.10","1,014.40"
2019-04-19,7.5,14.7,9.6,19.7,0,31,94,"1,014.30","1,018.20"
2019-04-20,9.4,14.4,9.7,19.1,1.2,40,96,"1,012.90","1,017.40"
2019-04-21,7.4,16.2,12.2,20.2,0.3,53,97,"1,011.70","1,015.30"
2019-04-22,6.8,19.5,10.7,28.2,0,18,86,"1,012.10","1,016.50"
2019-04-23,7.5,20.4,15.3,25.5,0,36,65,"1,009.50","1,015.60"
2019-04-24,8.1,20.9,15.8,25.9,4.1,42,96,"1,003.60","1,010.70"
2019-04-25,8.1,13.3,9.4,17.2,11.3,51,96,"1,005.70","1,008.10"
2019-04-26,7.2,8.1,6.2,9.9,4.9,65,96,"1,007.80","1,019.70"
2019-04-27,7.5,11.2,4.1,18.2,0,25,86,"1,019.10","1,023.70"
2019-04-28,7.7,13.3,9.9,16.6,0,33,66,"1,018.40","1,023.10"
2019-04-29,4.8,12.8,8.3,17.3,0,36,69,"1,010.50","1,019.60"
2019-04-30,7.4,15.8,9,22.5,0,29,79,"1,006.20","1,011.20"
2019-05-01,10.8,16.7,11.2,22.2,0,28,70,"1,003.60","1,008.10"
2019-05-02,9.7,18,10.6,25.3,0,14,46,"1,007.60","1,014.60"
2019-05-03,9.1,18.1,10.1,26.1,0,17,56,"1,014.50","1,017.90"
2019-05-04,7.4,19.7,12,27.4,0,18,70,"1,015.70","1,019.70"
2019-05-05,10.6,20.1,13.6,26.5,0,12,58,"1,013.20","1,018.10"
2019-05-06,10.2,14.8,9.8,19.8,0,12,56,"1,014","1,018.60"
2019-05-07,10.5,15.2,8.4,21.9,0,16,54,"1,013.20","1,018.20"
2019-05-08,8.8,15.7,10.1,21.3,0,31,68,"1,009.40","1,015.80"
2019-05-09,9.5,17.3,11.7,22.9,0,19,75,"1,009","1,012.80"
2019-05-10,7.8,18.6,10.3,26.8,0,28,80,"1,011.20","1,014.30"
2019-05-11,7.3,20.8,13.2,28.3,0,22,61,"1,011.70","1,015.20"
2019-05-12,6.6,21.8,14.7,28.9,0,24,60,"1,013","1,015.90"
2019-05-13,8.6,19.2,15.5,22.8,0,29,65,"1,012.60","1,015.80"
2019-05-14,8.1,19.9,12.9,26.9,0,24,68,"1,011.10","1,014.40"
2019-05-15,6.9,21.4,14.8,28,0,23,70,"1,010.70","1,014.70"
2019-05-16,7.3,23.4,16.7,30,0,25,68,"1,009.80","1,012.90"
2019-05-17,5.6,23,17.6,28.3,0,31,65,"1,010.20","1,014.20"
2019-05-18,9.9,22.5,19.1,25.9,0,38,64,"1,010.20","1,012.60"
2019-05-19,6.4,19.8,17.9,21.6,22,55,97,"1,004.70","1,012.40"
2019-05-20,12.3,16.6,13,20.2,8.7,33,96,"1,003","1,007.80"
2019-05-21,12,17.8,11.7,23.8,0,22,75,"1,002.80","1,007.80"
2019-05-22,10.2,19.4,12.3,26.5,0,19,77,"1,003.20","1,006.30"
2019-05-23,7.9,22.1,15,29.2,0,16,74,"1,006.20","1,010"
2019-05-24,7,24.8,16.2,33.4,0,27,62,"1,008.50","1,012"
2019-05-25,8.3,23.5,18.4,28.6,0,15,76,"1,012","1,015.90"
2019-05-26,8.5,24.9,18.6,31.1,0,21,63,"1,011","1,016.20"
2019-05-27,11.1,18.3,14.3,22.3,7.1,42,96,999.8,"1,011.20"
2019-05-28,11.6,18.3,11.9,24.6,0,20,67,"1,008.20","1,012.70"
2019-05-29,9.5,19.9,13.3,26.5,0,21,80,"1,007.70","1,010.90"
2019-05-30,10.3,19.6,14.6,24.5,0,31,64,"1,008.40","1,012.10"
2019-05-31,9.9,19.7,16.1,23.3,0,35,63,"1,008.30","1,011.70"
2019-06-01,8.2,19.3,14.8,23.7,0,40,81,"1,008.70","1,011.60"
2019-06-02,8,21,14.1,27.8,0,22,75,"1,005.50","1,009.90"
2019-06-03,9.9,22.8,16,29.5,0,27,59,"1,004.60","1,009.80"
2019-06-04,9.1,23.3,17.6,29,0,34,81,"1,007.30","1,010.90"
2019-06-05,7.5,23.7,17.8,29.6,0,38,84,"1,009.70","1,012.40"
2019-06-06,8.5,21.9,18.6,25.1,7.5,56,94,"1,004.30","1,013"
2019-06-07,8.7,20.9,17,24.7,35.3,50,96,"1,000.20","1,007.80"
2019-06-08,7.7,21.8,16,27.6,0,28,82,"1,006.60","1,009.50"
2019-06-09,7.7,21.8,17.1,26.5,2.5,47,82,"1,002.80","1,007.40"
2019-06-10,6.4,18.8,15.7,21.9,9.5,49,94,"1,005.40","1,008.90"
2019-06-11,7.1,20.8,15.5,26.1,0,32,69,"1,007.10","1,010"
2019-06-12,8.2,21.3,16.1,26.4,0,40,81,"1,009","1,011"
2019-06-13,7,22.7,16.6,28.8,0,33,75,"1,007.40","1,011.40"
2019-06-14,7.3,23.8,19.1,28.4,0,30,72,"1,002.40","1,008.50"
2019-06-15,9.7,22.7,17.9,27.4,2.1,37,82,996.7,"1,003.30"
2019-06-16,8.3,21.7,16.1,27.2,0,34,80,"1,002.60","1,009.80"
2019-06-17,7.9,22.2,18.1,26.2,0,35,80,"1,009.70","1,012.60"
2019-06-18,7.4,20.9,17,24.8,13.8,54,95,"1,008.30","1,013.40"
2019-06-19,7.7,22.2,18.9,25.4,0.2,55,94,"1,005.90","1,009.10"
2019-06-20,7.7,23.8,19.8,27.8,0,45,87,"1,005","1,008.10"
2019-06-21,6.9,22.8,19.4,26.1,0.2,55,86,"1,004.10","1,007.30"
2019-06-22,6.8,24.2,17.7,30.6,0,25,73,"1,004.30","1,007.20"
2019-06-23,8.3,25.1,19.1,31,0,28,53,"1,006.20","1,009.20"
2019-06-24,8.1,25.9,20.9,30.9,0,28,64,"1,009.10","1,014.70"
2019-06-25,7.7,26.2,19.5,32.8,0,24,76,"1,011.80","1,016.10"
2019-06-26,7.9,25.1,20.7,29.5,0,34,68,"1,003.80","1,013.30"
2019-06-27,7.1,26.6,21.9,31.2,1.4,39,94,998.3,"1,003.80"
2019-06-28,6.8,25.7,22.3,29,0,49,75,"1,000.40","1,002.60"
2019-06-29,6.2,23.7,19.6,27.7,1.5,44,93,994.3,"1,001.90"
2019-06-30,8,24.7,20.9,28.5,0,47,87,996.8,"1,003.20"
2019-07-01,8.8,24.8,20.6,28.9,0,36,83,"1,002.90","1,007.30"
2019-07-02,8.3,25.5,20.8,30.1,0,33,82,"1,007.10","1,009.80"
2019-07-03,6.5,24.3,21.2,27.4,0,46,85,"1,005.90","1,010.40"
2019-07-04,8.6,26.4,20,32.8,0,27,93,"1,004.30","1,008.20"
2019-07-05,7.9,27.6,20.2,35,0,24,79,"1,000.20","1,006"
2019-07-06,8.7,30.4,24.6,36.1,0,24,58,"1,001.50","1,006.80"
2019-07-07,7.9,27.6,22.7,32.5,0,28,58,"1,005.60","1,008.30"
2019-07-08,7.8,26.1,21.2,31,0,32,55,"1,005.80","1,009"
2019-07-09,8,24.9,19.7,30,0,32,63,"1,004.60","1,007.90"
2019-07-10,8.2,23.3,19.3,27.3,8.5,41,95,"1,006.10","1,008"
2019-07-11,6.1,22.7,19.5,25.9,2.9,58,95,"1,003.90","1,006.50"
2019-07-12,8.7,24.4,20,28.7,0,44,80,"1,004.30","1,007.80"
2019-07-13,7.3,25.9,22.1,29.7,0,43,81,998.8,"1,005"
2019-07-14,7.6,26.4,21.2,31.6,0,38,87,"1,000.60","1,005"
2019-07-15,5.8,24.8,22.1,27.4,7.7,59,95,"1,004.60","1,009.40"
2019-07-16,6.6,25.1,21.4,28.8,6.3,52,96,"1,009.30","1,011.70"
2019-07-17,5.6,25.8,22.3,29.2,0.7,54,94,"1,009.40","1,012.20"
2019-07-18,5.5,27.7,23.3,32.1,0,41,82,"1,005.90","1,010.50"
2019-07-19,8.5,28.9,22.8,35,0,37,81,"1,004.20","1,008.30"
2019-07-20,9.5,28.5,25.1,31.9,1.1,50,85,997.7,"1,005.60"
2019-07-21,9.4,25.6,24.2,27,6.2,74,96,997.8,"1,005.60"
2019-07-22,7.2,27.6,24.2,31,0.1,54,92,"1,004.40","1,007"
2019-07-23,7.7,28.7,24.4,32.9,0,49,86,"1,002","1,006.90"
2019-07-24,6,26.2,25.2,27.2,1,75,94,"1,003.10","1,005.30"
2019-07-25,6.8,26.5,25.6,27.4,9.7,79,96,"1,003.30","1,005.20"
2019-07-26,8.9,24.8,23.7,25.9,60,91,97,"1,002.60","1,004.80"
2019-07-27,6.6,29.2,24.9,33.4,0.6,48,97,"1,004.20","1,006.80"
2019-07-28,9.9,26.6,25,28.2,25.6,77,96,"1,006.10","1,009.70"
2019-07-29,9.3,27.8,25.6,30,0.5,63,93,"1,007.20","1,010"
2019-07-30,11.8,28.6,26.3,30.8,1.2,64,83,"1,005.30","1,008.20"
2019-07-31,11.2,25.8,24,27.5,62.3,79,97,"1,007.20","1,011.30"
2019-08-01,8.8,26.8,23.5,30.1,26.9,66,97,"1,010.20","1,012.90"
2019-08-02,6.1,28.9,24.7,33.1,0,48,96,"1,009.10","1,013.30"
2019-08-03,7.5,30.8,25.6,36,3,39,92,"1,008.90","1,011.60"
2019-08-04,6.5,29.7,25,34.4,8.6,48,94,"1,009.10","1,011.60"
2019-08-05,6.7,30.8,25.6,35.9,0,38,96,"1,007.10","1,011.50"
2019-08-06,8.5,32.4,27.9,36.8,0,31,74,"1,004.20","1,008.80"
2019-08-07,5.2,27.1,23.9,30.3,8,51,95,"1,003.80","1,007"
2019-08-08,7.7,29.3,25.9,32.7,0,46,85,"1,005.40","1,008.60"
2019-08-09,7.9,30.3,26,34.6,0,52,90,"1,006.60","1,009"
2019-08-10,8.2,31.6,26.6,36.5,0,40,83,"1,002.90","1,007.60"
2019-08-11,10.5,31,26.3,35.7,6.7,34,84,998.6,"1,005.70"
2019-08-12,6.4,26.7,24.8,28.5,56.2,79,97,998.2,"1,002.10"
2019-08-13,6.9,30.2,25.1,35.3,6.5,43,96,"1,000.70","1,003.40"
2019-08-14,8.1,30.8,25.9,35.7,0,42,95,997.2,"1,003.10"
2019-08-15,6.7,26.3,23.9,28.6,16.2,61,96,990.8,997.3
2019-08-16,11.5,26.3,23,29.5,0.1,59,94,991.4,999.7
2019-08-17,7.9,26.1,23.4,28.8,0,45,82,999.5,"1,004.20"
2019-08-18,5.9,26.7,22.6,30.7,0,37,82,"1,004.20","1,008.40"
2019-08-19,5.1,26.3,21.2,31.3,0,35,84,"1,008.10","1,010.40"
2019-08-20,6.2,28,23.2,32.8,0,39,73,"1,007.70","1,011.30"
2019-08-21,5.9,27.4,24.4,30.4,1.3,49,92,"1,007.10","1,009.30"
2019-08-22,7.9,27.2,23,31.4,0,36,93,"1,004.60","1,008"
2019-08-23,8.1,26.6,22.7,30.5,0,28,82,"1,006.80","1,009.40"
2019-08-24,6.5,24.4,21.5,27.3,0,46,77,"1,009.20","1,011.60"
2019-08-25,7.4,25.1,20.2,29.9,0,43,85,"1,011.20","1,013.60"
2019-08-26,6,26.8,21.5,32.1,0,34,85,"1,009.40","1,013.70"
2019-08-27,5.1,25.8,22.2,29.3,20,44,97,"1,004.90","1,010.70"
2019-08-28,7.3,26.9,23.6,30.2,0,37,81,"1,004.50","1,007.40"
2019-08-29,12.1,23.3,20.1,26.4,36.9,54,97,"1,004.20","1,007.20"
2019-08-30,8.6,23.3,19.5,27,0.2,42,84,"1,006.70","1,011.10"
2019-08-31,7.5,23.7,18.5,28.9,0,38,83,"1,011","1,015.60"
2019-09-01,5.6,23.5,19.2,27.8,0,37,88,"1,015.40","1,017.80"
2019-09-02,6.4,24.6,19.4,29.7,0,34,82,"1,014.20","1,017.80"
2019-09-03,7.4,25,22,28,0,50,84,"1,013.40","1,016.40"
2019-09-04,7.8,23.4,21.2,25.5,22.7,73,97,"1,011.40","1,014.90"
2019-09-05,8.4,24.6,21.5,27.6,36.4,66,97,"1,010.10","1,013"
2019-09-06,6.5,25.4,21.6,29.1,2.4,63,94,"1,006.30","1,011.60"
2019-09-07,28.3,26.1,22.6,29.5,2.8,58,88,987.7,"1,006.30"
2019-09-08,8.8,25.1,22.9,27.3,0,62,87,"1,005.50","1,010.10"
2019-09-09,6.4,25.2,22.4,28,0,55,91,"1,008.90","1,011.50"
2019-09-10,8.8,24.3,22.1,26.5,63.2,73,97,"1,010.20","1,013.20"
2019-09-11,9.4,24.6,20.4,28.7,7.6,54,97,"1,011.10","1,016.30"
2019-09-12,8.8,20.8,18.7,22.9,3.9,56,96,"1,015.50","1,017.90"
2019-09-13,7.5,23.8,18.3,29.3,0.1,34,96,"1,011.40","1,015.90"
2019-09-14,5,22.5,20.8,24.1,0.3,61,97,"1,009.80","1,012.40"
2019-09-15,6.7,24.8,19.5,30,0,40,97,"1,008.20","1,012.60"
2019-09-16,8.3,25.6,20.7,30.5,0,28,79,"1,009.30","1,012.80"
2019-09-17,7.6,23.5,18,29,0,24,57,"1,012.70","1,016.20"
2019-09-18,8.6,20.7,16,25.4,0,27,71,"1,014.40","1,018.70"
2019-09-19,7.5,19.8,13.6,26,0,32,57,"1,016.30","1,020.40"
2019-09-20,6.5,20,15.8,24.2,0,39,61,"1,016.30","1,019.40"
2019-09-21,6.4,20.2,18.3,22.1,0,48,75,"1,017.60","1,020.10"
2019-09-22,12.7,18.5,17.3,19.6,0.4,54,74,"1,009.90","1,019.50"
2019-09-23,8.6,20.8,16.9,24.6,0,33,69,"1,009.80","1,017.40"
2019-09-24,6.3,20.2,13.9,26.5,0,31,82,"1,017.10","1,020.30"
2019-09-25,4.7,21.1,14.8,27.4,0,34,84,"1,020.20","1,023.40"
2019-09-26,6,23.4,17.7,29,0,31,84,"1,022.30","1,024.90"
2019-09-27,5.1,23.3,19.6,27,0,35,74,"1,019.70","1,024.10"
2019-09-28,5.6,24.3,19.4,29.2,0,35,75,"1,015.90","1,020.10"
2019-09-29,7.6,23.3,17.9,28.6,0,28,84,"1,014.60","1,017.90"
2019-09-30,5.5,23.2,16.4,29.9,0,29,87,"1,015.20","1,017.80"
2019-10-01,6.9,22.9,17.6,28.2,0,46,81,"1,016.80","1,019.40"
2019-10-02,9,22.1,20,24.2,23.2,66,96,"1,004.10","1,017.10"
2019-10-03,9.6,23.6,19.8,27.3,4.6,45,96,"1,002","1,010.90"
2019-10-04,7.1,22.9,18,27.8,0,50,85,"1,010.80","1,013.50"
2019-10-05,9.4,18.3,14.7,21.9,0.6,59,93,"1,012.70","1,021.30"
2019-10-06,8.5,18,13.2,22.7,0,38,67,"1,021.10","1,024.50"
2019-10-07,5.9,15.6,13.3,17.9,25.4,58,97,"1,015.70","1,021.20"
2019-10-08,9.1,15.2,10.6,19.8,0,26,96,"1,016","1,022.20"
2019-10-09,6.5,14.1,7.7,20.4,0,23,72,"1,016.90","1,022.20"
2019-10-10,5.3,15.3,10.7,19.8,0,39,75,"1,014.50","1,018.50"
2019-10-11,8.7,19.6,13,26.1,0,30,86,"1,013.10","1,017"
2019-10-12,14.5,18.3,13.3,23.3,0,34,62,"1,016.10","1,020.80"
2019-10-13,7.4,18,12.1,23.8,0,32,68,"1,020.60","1,023.60"
2019-10-14,9,14.6,9.5,19.6,0,33,83,"1,023","1,028"
2019-10-15,9,14.6,8.8,20.4,0,38,70,"1,026.30","1,029.60"
2019-10-16,6.4,14.9,9,20.8,0,32,85,"1,024.20","1,028.40"
2019-10-17,6.9,16.4,11.2,21.6,0,31,79,"1,022.70","1,025.50"
2019-10-18,8.3,17.4,12,22.7,0,43,71,"1,019.70","1,025.20"
2019-10-19,6.3,17.6,12.1,23.1,0,38,84,"1,019.20","1,021.60"
2019-10-20,5.6,17.5,12,22.9,0,38,94,"1,019.80","1,023.80"
2019-10-21,4.2,17.8,10.9,24.6,0,28,87,"1,016.30","1,020.90"
2019-10-22,6.3,18.9,13.3,24.4,0,35,75,"1,015.90","1,019.10"
2019-10-23,7.6,17.5,14.3,20.7,0,42,74,"1,017.80","1,020.40"
2019-10-24,9.7,19.6,15.3,23.8,0,33,60,"1,017","1,020.90"
2019-10-25,9.5,17.6,13.1,22,0,34,78,"1,015.80","1,019.10"
2019-10-26,9.4,10.8,6.6,14.9,0,39,75,"1,017.50","1,020.60"
2019-10-27,7.6,11.1,4.7,17.4,0,34,77,"1,017.90","1,021"
2019-10-28,9.8,12.6,7.4,17.7,1.7,39,89,"1,012.40","1,019.50"
2019-10-29,8.8,12.9,8.2,17.6,0.1,32,93,"1,013.10","1,020"
2019-10-30,7,11.4,5,17.7,0,37,78,"1,019.80","1,022.90"
2019-10-31,10,14.1,8.4,19.7,0,55,87,"1,018.60","1,022.20"
2019-11-01,6,16,11.4,20.5,0,25,96,"1,019.80","1,022.70"
2019-11-02,4.6,13.5,8.3,18.7,0,45,70,"1,018.40","1,022.40"
2019-11-03,8,15.8,9.4,22.1,0,36,82,"1,017.70","1,022.20"
2019-11-04,6,14.8,9.2,20.3,0,33,75,"1,020.10","1,023.80"
2019-11-05,6.8,13.4,8.4,18.4,0,35,84,"1,017.70","1,021.20"
2019-11-06,7,11.4,6.3,16.5,0,29,86,"1,014.80","1,019.20"
2019-11-07,8,9.3,5,13.6,0,19,75,"1,015.40","1,020.80"
2019-11-08,7.3,7.1,1.1,13,0,14,46,"1,020.20","1,023.20"
2019-11-09,6.3,10.4,3.5,17.2,0,20,65,"1,019.50","1,023.80"
2019-11-10,8.5,10.8,6.2,15.3,1.1,47,95,"1,004.70","1,017.40"
2019-11-11,8.1,11.5,7.9,15.1,11.8,31,96,"1,005.30","1,019.60"
2019-11-12,4.5,9.7,4.8,14.5,0,38,87,"1,017.40","1,022.30"
2019-11-13,11,7.2,3,11.3,7.5,51,95,"1,010","1,022.40"
2019-11-14,11.8,1.3,-2.5,5,0,21,49,"1,021.80","1,027.50"
2019-11-15,6.2,4.5,1.4,7.6,18.8,39,96,"1,016.60","1,022.70"
2019-11-16,5.2,8.3,3.8,12.7,0,46,97,"1,018.50","1,022.30"
2019-11-17,10.5,8.1,5.6,10.5,21.1,55,97,"1,010.10","1,022.60"
2019-11-18,12.1,6.6,0.4,12.7,14.7,30,97,"1,009.50","1,023"
2019-11-19,10.3,0.3,-3.5,4,0,31,69,"1,022","1,030.50"
2019-11-20,6.5,0.9,-4.6,6.3,0,18,58,"1,030.30","1,033.30"
2019-11-21,7.1,3.4,-2.3,9,0,26,55,"1,029.90","1,034.50"
2019-11-22,7.3,10.2,3,17.3,0,16,56,"1,025","1,030.10"
