고객ID,성별,연령,지역,가입채널,가입개월수,요금제,월요금,결제수단,자동결제여부,월평균로그인수,월평균주문수,평균주문금액,누적결제금액,최근주문경과일,CS문의수,만족도점수,쿠폰사용률,모바일사용비중,이탈여부
C100153,남,28,부산,앱스토어,14,Basic,9900,계좌이체,1,14,1.9,30700,816600,34,2,2.1,0.201,0.907,1
C100154,남,27,기타,SNS,17,Basic,9900,신용카드,1,20,1.3,48200,1065200,32,1,3.2,0.224,0.746,0
C100155,남,46,대전,SNS,11,Standard,19900,신용카드,1,19,2.5,35900,987200,16,0,4.2,0.128,0.751,0
C100156,남,27,경기,SNS,7,Basic,9900,신용카드,0,16,5.3,25100,931200,87,2,2.4,0.174,0.869,0
C100157,여,27,기타,검색광고,17,Basic,9900,체크카드,0,8,5.6,36600,3484300,40,0,4.9,0.159,0.718,0
C100158,여,48,경기,검색광고,10,Basic,9900,신용카드,1,12,1.9,15500,294500,2,1,2.3,0.095,0.28,0
C100159,남,19,서울,앱스토어,17,Standard,19900,간편결제,1,9,0.6,38300,390700,4,0,3.1,0.395,,0
C100160,남,46,서울,앱스토어,17,Basic,9900,간편결제,1,1,2.0,23100,785400,42,0,5.0,0.503,0.597,0
C100161,남,24,서울,제휴몰,5,Basic,9900,신용카드,1,6,3.9,32200,627900,0,1,3.9,0.326,0.606,0
C100162,남,40,대전,제휴몰,4,Basic,9900,간편결제,1,8,5.3,25800,547000,0,3,2.2,0.473,0.783,0
C100163,남,21,인천,SNS,5,Basic,9900,신용카드,1,5,5.0,39300,982500,0,1,4.4,0.25,0.516,0
C100164,여,31,인천,앱스토어,42,Premium,34900,간편결제,1,10,3.7,54200,8422700,2,0,2.7,0.214,0.746,0
C100165,여,37,대전,앱스토어,7,Standard,19900,체크카드,1,3,6.8,38700,1842100,31,1,4.8,0.11,0.927,0
C100166,여,42,인천,검색광고,6,Standard,19900,간편결제,0,8,2.2,23400,308900,78,2,4.1,0.435,0.698,0
C100167,남,22,대전,앱스토어,7,Premium,34900,체크카드,1,35,4.8,27600,927400,0,1,5.0,0.348,0.849,0
C100168,여,44,서울,검색광고,24,Standard,19900,체크카드,1,13,4.2,39300,3961400,0,0,3.7,0.265,0.277,0
C100169,여,19,서울,SNS,9,Basic,9900,신용카드,1,13,1.4,24500,308700,1,3,,0.231,0.728,1
C100170,여,20,경기,SNS,5,Basic,9900,신용카드,1,17,3.8,17000,323000,0,0,2.8,0.323,0.524,0
C100171,남,28,서울,검색광고,14,Premium,34900,신용카드,1,20,4.9,39000,2675400,7,3,3.9,0.071,0.514,0
C100172,여,34,대구,제휴몰,9,Basic,9900,간편결제,1,15,1.3,46100,539400,12,1,1.9,0.208,0.67,0
C100173,남,48,서울,SNS,13,Standard,19900,간편결제,1,15,1.6,29500,613600,30,1,4.5,0.316,0.643,0
C100174,여,43,서울,제휴몰,16,Standard,19900,체크카드,1,15,0.8,35100,449300,14,2,3.5,0.081,0.432,0
C100175,여,19,경기,SNS,41,Standard,19900,신용카드,1,17,1.3,42600,2270600,6,0,2.6,0.099,0.519,0
C100176,여,30,인천,SNS,6,Basic,9900,간편결제,0,7,5.1,37600,1150600,33,1,4.0,0.285,,0
C100177,남,40,경기,지인추천,4,Basic,9900,체크카드,1,17,2.8,57300,641800,14,1,3.9,0.135,0.509,0
C100178,여,47,대전,검색광고,37,Premium,34900,신용카드,0,7,4.6,39400,6705900,22,0,3.7,0.091,0.507,0
C100179,남,25,부산,검색광고,6,Standard,19900,체크카드,0,34,8.1,41000,1992600,38,2,2.5,,0.54,0
C100180,남,27,경기,제휴몰,6,Basic,9900,계좌이체,1,19,4.8,42000,1209600,0,1,3.2,0.274,0.815,0
C100181,남,53,경기,SNS,10,Basic,9900,신용카드,0,16,4.9,36800,1803200,14,0,5.0,0.191,0.74,1
C100182,여,42,부산,검색광고,4,Standard,19900,신용카드,1,15,2.4,25500,244800,0,0,3.4,0.215,0.745,0
C100183,남,19,부산,검색광고,10,Basic,9900,간편결제,1,16,1.8,22900,412200,0,1,2.6,0.266,0.762,0
C100184,여,50,경기,SNS,9,Standard,19900,체크카드,1,16,0.9,34300,277800,43,0,4.5,0.337,0.639,0
C100185,남,29,광주,지인추천,9,Standard,19900,간편결제,1,3,4.9,30400,1340600,41,1,4.0,0.171,0.693,0
C100186,남,33,인천,검색광고,12,Standard,19900,신용카드,0,18,5.2,25100,1566200,16,2,5.0,0.166,0.879,0
C100187,여,40,대구,검색광고,22,Basic,9900,간편결제,1,9,1.3,30500,872300,27,0,3.0,0.118,0.496,0
C100188,여,36,부산,검색광고,13,Basic,9900,간편결제,0,15,2.2,40600,1161200,17,1,4.1,0.512,0.853,0
C100189,여,48,기타,SNS,8,Basic,9900,신용카드,0,0,2.0,25600,409600,60,0,4.0,0.182,0.804,1
C100190,여,45,서울,검색광고,17,Standard,19900,신용카드,1,14,1.2,26700,544700,90,2,3.1,0.272,0.81,1
C100191,남,48,경기,제휴몰,4,Standard,19900,계좌이체,1,12,1.9,46100,350400,3,1,,0.117,0.975,0
C100192,여,46,부산,검색광고,27,Basic,9900,신용카드,0,16,2.3,39600,2459200,82,2,3.6,0.236,,0
C100193,여,41,서울,검색광고,16,Standard,19900,신용카드,1,26,3.1,28400,1408600,23,0,,0.55,0.7,0
C100194,여,39,서울,SNS,17,Basic,9900,신용카드,1,13,3.1,38400,2023700,0,2,3.8,0.364,0.694,0
C100195,남,42,인천,검색광고,15,Standard,19900,체크카드,1,13,1.4,11100,233100,0,0,3.5,0.091,0.864,0
C100196,남,31,경기,지인추천,8,Basic,9900,신용카드,1,11,3.3,18900,499000,29,0,2.5,0.136,0.71,0
C100197,남,21,서울,검색광고,29,Basic,9900,신용카드,0,18,4.2,37900,4616200,46,1,2.9,0.496,0.61,0
C100198,여,53,경기,지인추천,15,Basic,9900,계좌이체,1,21,2.4,35000,1260000,0,1,4.0,,0.787,0
C100199,여,28,대구,검색광고,26,Standard,19900,신용카드,1,20,3.6,31900,2985800,17,0,4.2,0.277,0.665,0
C100200,남,26,서울,SNS,18,Basic,9900,신용카드,0,13,1.1,23100,457400,21,2,3.7,0.239,0.962,1
C100201,남,28,대전,SNS,5,Standard,19900,간편결제,0,15,1.0,36700,183500,27,1,2.7,0.303,0.76,0
C100202,남,24,부산,앱스토어,24,Standard,19900,신용카드,0,25,6.8,54000,8812800,49,2,5.0,0.293,0.773,0
C100203,여,44,경기,검색광고,13,Standard,19900,간편결제,1,20,3.6,31000,1450800,3,3,3.9,0.619,0.656,0
C100204,여,25,대구,SNS,24,Premium,34900,계좌이체,0,20,6.2,54500,8109600,5,2,4.2,0.173,0.91,0
C100205,남,26,부산,지인추천,13,Basic,9900,신용카드,1,19,7.2,55500,5194800,28,1,3.8,0.524,0.482,0
C100206,남,43,서울,SNS,22,Premium,34900,신용카드,1,27,3.3,48900,3550100,4,0,2.6,,0.947,0
C100207,여,43,광주,검색광고,39,Basic,9900,간편결제,0,19,3.9,55000,8365500,27,3,3.1,0.407,0.734,0
C100208,남,42,경기,검색광고,12,Basic,9900,체크카드,0,15,3.8,34800,1586900,8,1,1.4,0.35,0.738,1
C100209,남,27,서울,검색광고,11,Basic,9900,간편결제,1,15,2.0,10800,237600,2,0,3.8,,0.806,0
C100210,남,34,경기,SNS,16,Standard,19900,간편결제,1,17,1.5,36600,878400,4,3,3.6,0.342,0.687,0
C100211,여,46,광주,SNS,11,Premium,34900,신용카드,1,8,2.4,18500,488400,14,1,3.6,0.254,0.901,0
C100212,남,41,부산,검색광고,7,Standard,19900,간편결제,1,6,2.1,33100,486600,3,2,2.5,0.312,0.759,1
C100213,여,24,기타,검색광고,14,Standard,19900,신용카드,0,14,7.7,31700,3417300,9,2,3.8,0.465,0.747,0
C100214,남,28,경기,앱스토어,8,Standard,19900,체크카드,0,17,4.8,28500,1094400,16,1,3.7,0.294,0.956,0
C100215,남,56,서울,SNS,5,Basic,9900,간편결제,1,13,7.2,35800,1288800,0,3,4.0,0.127,0.919,0
C100216,남,35,서울,SNS,16,Basic,9900,계좌이체,0,7,1.2,24300,466600,23,1,4.2,0.237,,0
C100217,여,24,대구,제휴몰,10,Standard,19900,체크카드,0,8,2.9,41300,1197700,43,1,3.3,0.247,,0
C100218,여,30,경기,지인추천,11,Premium,34900,체크카드,1,16,2.7,43300,1286000,16,2,3.1,,0.801,0
C100219,여,39,대구,앱스토어,7,Premium,34900,체크카드,0,14,3.4,64200,1528000,20,0,4.3,0.218,0.71,0
C100220,여,32,부산,지인추천,14,Basic,9900,간편결제,1,8,11.3,44700,7071500,0,0,4.9,0.617,0.776,0
