고객ID,Recency,Frequency,Monetary,R점수,F점수,M점수,RFM합계,군집,이탈여부,세그먼트
C100165,31,47.6,1842100,2,4,4,10,0,0,휴면/이탈위험
C100166,78,13.2,308900,1,1,1,3,2,0,일반 유지고객
C100167,0,33.6,927400,5,3,3,11,0,0,휴면/이탈위험
C100168,0,100.8,3961400,5,5,5,15,3,0,성장 잠재고객
C100169,1,12.6,308700,5,1,1,7,0,1,휴면/이탈위험
C100170,0,19.0,323000,5,2,1,8,0,0,휴면/이탈위험
C100171,7,68.6,2675400,4,4,5,13,3,0,성장 잠재고객
C100172,12,11.7,539400,3,1,2,6,0,0,휴면/이탈위험
C100173,30,20.8,613600,2,2,2,6,0,0,휴면/이탈위험
C100174,14,12.8,449300,3,1,2,6,0,0,휴면/이탈위험
C100175,6,53.3,2270600,4,4,4,12,0,0,휴면/이탈위험
C100176,33,30.6,1150600,2,3,3,8,0,0,휴면/이탈위험
C100177,14,11.2,641800,3,1,2,6,0,0,휴면/이탈위험
C100178,22,170.2,6705900,2,5,5,12,1,0,VIP 충성고객
C100179,38,48.6,1992600,2,4,4,10,2,0,일반 유지고객
C100180,0,28.8,1209600,5,3,3,11,0,0,휴면/이탈위험
C100181,14,49.0,1803200,3,4,4,11,0,1,휴면/이탈위험
C100182,0,9.6,244800,5,1,1,7,0,0,휴면/이탈위험
C100183,0,18.0,412200,5,2,2,9,0,0,휴면/이탈위험
C100184,43,8.1,277800,1,1,1,3,2,0,일반 유지고객
C100185,41,44.1,1340600,1,3,3,7,2,0,일반 유지고객
C100186,16,62.4,1566200,3,4,4,11,0,0,휴면/이탈위험
C100187,27,28.6,872300,2,3,3,8,0,0,휴면/이탈위험
C100188,17,28.6,1161200,3,3,3,9,0,0,휴면/이탈위험
C100189,60,16.0,409600,1,2,1,4,2,1,일반 유지고객
C100190,90,20.4,544700,1,2,2,5,2,1,일반 유지고객
C100191,3,7.6,350400,4,1,1,6,0,0,휴면/이탈위험
C100192,82,62.1,2459200,1,4,4,9,2,0,일반 유지고객
C100193,23,49.6,1408600,2,4,3,9,0,0,휴면/이탈위험
C100194,0,52.7,2023700,5,4,4,13,0,0,휴면/이탈위험
C100195,0,21.0,233100,5,2,1,8,0,0,휴면/이탈위험
C100196,29,26.4,499000,2,2,2,6,0,0,휴면/이탈위험
C100197,46,121.8,4616200,1,5,5,11,3,0,성장 잠재고객
C100198,0,36.0,1260000,5,3,3,11,0,0,휴면/이탈위험
C100199,17,93.6,2985800,3,5,5,13,3,0,성장 잠재고객
C100200,21,19.8,457400,3,2,2,7,0,1,휴면/이탈위험
C100201,27,5.0,183500,2,1,1,4,0,0,휴면/이탈위험
C100202,49,163.2,8812800,1,5,5,11,1,0,VIP 충성고객
C100203,3,46.8,1450800,4,4,4,12,0,0,휴면/이탈위험
C100204,5,148.8,8109600,4,5,5,14,1,0,VIP 충성고객
C100205,28,93.6,5194800,2,5,5,12,3,0,성장 잠재고객
C100206,4,72.6,3550100,4,4,5,13,3,0,성장 잠재고객
C100207,27,152.1,8365500,2,5,5,12,1,0,VIP 충성고객
C100208,8,45.6,1586900,4,4,4,12,0,1,휴면/이탈위험
C100209,2,22.0,237600,4,2,1,7,0,0,휴면/이탈위험
C100210,4,24.0,878400,4,2,3,9,0,0,휴면/이탈위험
C100211,14,26.4,488400,3,2,2,7,0,0,휴면/이탈위험
C100212,3,14.7,486600,4,2,2,8,0,1,휴면/이탈위험
C100213,9,107.8,3417300,4,5,5,14,3,0,성장 잠재고객
C100214,16,38.4,1094400,3,3,3,9,0,0,휴면/이탈위험
C100215,0,36.0,1288800,5,3,3,11,0,0,휴면/이탈위험
C100216,23,19.2,466600,2,2,2,6,0,0,휴면/이탈위험
C100217,43,29.0,1197700,1,3,3,7,2,0,일반 유지고객
C100218,16,29.7,1286000,3,3,3,9,0,0,휴면/이탈위험
C100219,20,23.8,1528000,3,2,4,9,0,0,휴면/이탈위험
C100220,0,158.2,7071500,5,5,5,15,1,0,VIP 충성고객
C100221,0,14.0,333200,5,1,1,7,0,0,휴면/이탈위험
C100222,0,11.4,304400,5,1,1,7,0,0,휴면/이탈위험
C100223,0,52.0,2054000,5,4,4,13,0,0,휴면/이탈위험
C100224,53,21.6,1049800,1,2,3,6,2,0,일반 유지고객
C100225,14,52.0,1986400,3,4,4,11,0,0,휴면/이탈위험
C100226,23,54.0,324000,2,4,1,7,0,0,휴면/이탈위험
C100227,12,64.6,1492300,3,4,4,11,0,0,휴면/이탈위험
C100228,16,85.0,1904000,3,5,4,12,3,0,성장 잠재고객
C100229,33,37.2,1019300,2,3,3,8,0,1,휴면/이탈위험
C100230,43,14.4,221800,1,1,1,3,2,0,일반 유지고객
C100231,42,27.0,1101600,1,2,3,6,2,0,일반 유지고객
C100232,18,21.0,480900,3,2,2,7,0,1,휴면/이탈위험
C100233,15,15.0,687000,3,2,2,7,0,0,휴면/이탈위험
C100234,32,48.4,905100,2,4,3,9,0,0,휴면/이탈위험
C100235,88,28.8,1002200,1,3,3,7,2,0,일반 유지고객
C100236,28,9.1,460500,2,1,2,5,0,0,휴면/이탈위험
C100237,16,52.0,1918800,3,4,4,11,0,0,휴면/이탈위험
C100238,13,53.2,1202300,3,4,3,10,0,0,휴면/이탈위험
C100239,38,8.0,260800,2,1,1,4,2,1,일반 유지고객
C100240,0,87.4,1783000,5,5,4,14,3,0,성장 잠재고객
C100241,10,17.4,821300,4,2,3,9,0,0,휴면/이탈위험
C100242,4,30.6,930200,4,3,3,10,0,0,휴면/이탈위험
C100243,9,60.2,1902300,4,4,4,12,0,0,휴면/이탈위험
C100244,4,29.4,1255400,4,3,3,10,0,0,휴면/이탈위험
C100245,29,23.4,716000,2,2,2,6,0,1,휴면/이탈위험
C100246,37,32.0,1664000,2,3,4,9,2,1,일반 유지고객
C100247,37,19.2,954200,2,2,3,7,2,0,일반 유지고객
C100248,0,31.5,904000,5,3,3,11,0,0,휴면/이탈위험
C100249,29,20.7,550600,2,2,2,6,0,0,휴면/이탈위험
C100250,12,3.6,80600,3,1,1,5,0,0,휴면/이탈위험
C100251,36,72.2,3133500,2,4,5,11,3,0,성장 잠재고객
C100252,15,32.0,752000,3,3,2,8,0,0,휴면/이탈위험
C100253,0,143.1,2990800,5,5,5,15,3,0,성장 잠재고객
C100254,0,52.7,969700,5,4,3,12,0,0,휴면/이탈위험
C100255,0,81.2,1347900,5,5,3,13,3,0,성장 잠재고객
C100256,40,139.4,697000,1,5,2,8,3,0,성장 잠재고객
C100257,3,34.3,1046200,4,3,3,10,0,0,휴면/이탈위험
C100258,0,40.6,852600,5,3,3,11,0,0,휴면/이탈위험
C100259,115,25.0,1260000,1,2,3,6,2,1,일반 유지고객
C100260,16,7.2,169200,3,1,1,5,0,0,휴면/이탈위험
C100261,39,7.0,159600,1,1,1,3,2,0,일반 유지고객
C100262,38,46.2,1792600,2,4,4,10,2,0,일반 유지고객
C100263,0,14.4,373000,5,1,1,7,0,0,휴면/이탈위험
C100264,120,22.4,849000,1,2,3,6,2,1,일반 유지고객
C100265,16,13.2,596600,3,1,2,6,0,0,휴면/이탈위험
C100266,14,25.6,1116200,3,2,3,8,0,1,휴면/이탈위험
C100267,0,54.0,1306800,5,4,3,12,0,0,휴면/이탈위험
C100268,76,46.8,1296400,1,4,3,8,2,1,일반 유지고객
C100269,9,32.0,643200,4,3,2,9,0,1,휴면/이탈위험
C100270,17,54.4,870400,3,4,3,10,0,0,휴면/이탈위험
C100271,18,5.0,132500,3,1,1,5,0,0,휴면/이탈위험
C100272,0,60.0,2862000,5,4,5,14,3,0,성장 잠재고객
C100273,57,20.8,1044200,1,2,3,6,2,1,일반 유지고객
C100274,30,6.2,222600,2,1,1,4,0,1,휴면/이탈위험
C100275,26,4.4,114000,2,1,1,4,0,0,휴면/이탈위험
C100276,20,84.6,1742800,3,5,4,12,3,1,성장 잠재고객
C100277,64,48.0,1233600,1,4,3,8,2,1,일반 유지고객
C100278,30,78.0,4157400,2,5,5,12,3,0,성장 잠재고객
C100279,17,12.6,423400,3,1,2,6,0,0,휴면/이탈위험
C100280,29,15.0,550500,2,2,2,6,0,0,휴면/이탈위험
C100281,8,179.4,6781300,4,5,5,14,1,0,VIP 충성고객
C100282,78,88.4,3553700,1,5,5,11,2,1,일반 유지고객
C100283,39,4.4,188800,1,1,1,3,2,1,일반 유지고객
C100284,5,0.6,21400,4,1,1,6,0,0,휴면/이탈위험
C100285,30,24.0,655200,2,2,2,6,0,1,휴면/이탈위험
C100286,39,22.8,597400,1,2,2,5,2,1,일반 유지고객
C100287,32,5.5,89100,2,1,1,4,0,0,휴면/이탈위험
C100288,9,32.2,1487600,4,3,4,11,0,0,휴면/이탈위험
C100289,18,42.0,1440600,3,3,4,10,0,0,휴면/이탈위험
C100290,0,50.4,2368800,5,4,4,13,0,0,휴면/이탈위험
C100291,1,16.8,465400,5,2,2,9,0,0,휴면/이탈위험
C100292,38,28.8,1284500,2,3,3,8,2,0,일반 유지고객
C100293,31,41.6,1185600,2,3,3,8,0,0,휴면/이탈위험
C100294,82,22.0,1236400,1,2,3,6,2,0,일반 유지고객
C100295,18,2.6,89700,3,1,1,5,0,0,휴면/이탈위험
C100296,0,67.2,4240300,5,4,5,14,3,0,성장 잠재고객
C100297,38,11.2,381900,2,1,1,4,2,0,일반 유지고객
C100298,49,44.8,1760600,1,4,4,9,2,0,일반 유지고객
C100299,26,306.8,9633500,2,5,5,12,1,0,VIP 충성고객
C100300,3,36.8,945800,4,3,3,10,0,0,휴면/이탈위험
C100301,0,5.2,144600,5,1,1,7,0,0,휴면/이탈위험
C100302,4,7.5,217500,4,1,1,6,0,0,휴면/이탈위험
C100303,1,20.0,592000,5,2,2,9,0,0,휴면/이탈위험
C100304,0,9.0,176400,5,1,1,7,0,0,휴면/이탈위험
C100305,0,93.0,1078800,5,5,3,13,3,0,성장 잠재고객
C100306,10,13.5,639900,4,1,2,7,0,0,휴면/이탈위험
C100307,8,21.6,531400,4,2,2,8,0,0,휴면/이탈위험
C100308,6,61.6,3221700,4,4,5,13,3,0,성장 잠재고객
C100309,0,26.4,955700,5,2,3,10,0,0,휴면/이탈위험
C100310,21,13.5,432000,3,1,2,6,0,1,휴면/이탈위험
C100311,0,177.6,8382700,5,5,5,15,1,0,VIP 충성고객
C100312,40,2.7,98800,1,1,1,3,2,0,일반 유지고객
C100313,0,17.0,884000,5,2,3,10,0,0,휴면/이탈위험
C100314,51,27.0,1144800,1,2,3,6,2,0,일반 유지고객
C100315,50,48.1,2241500,1,4,4,9,2,0,일반 유지고객
C100316,4,85.5,2300000,4,5,4,13,3,0,성장 잠재고객
C100317,9,53.2,1941800,4,4,4,12,0,0,휴면/이탈위험
C100318,0,8.5,307700,5,1,1,7,0,0,휴면/이탈위험
C100319,11,91.2,4815400,4,5,5,14,3,0,성장 잠재고객
C100320,25,8.8,309800,2,1,1,4,0,0,휴면/이탈위험
C100321,48,169.6,7784600,1,5,5,11,1,0,VIP 충성고객
C100322,40,34.1,392200,1,3,1,5,2,0,일반 유지고객
C100323,26,54.6,1692600,2,4,4,10,0,0,휴면/이탈위험
C100324,0,18.2,651600,5,2,2,9,0,0,휴면/이탈위험
C100325,0,34.2,670300,5,3,2,10,0,0,휴면/이탈위험
C100326,15,28.6,789400,3,3,2,8,0,0,휴면/이탈위험
C100327,76,15.4,308000,1,2,1,4,2,1,일반 유지고객
C100328,22,18.7,772300,2,2,2,6,0,0,휴면/이탈위험
C100329,3,88.2,2425500,4,5,4,13,3,0,성장 잠재고객
C100330,25,54.0,1571400,2,4,4,10,0,1,휴면/이탈위험
C100331,0,7.2,304600,5,1,1,7,0,0,휴면/이탈위험
C100332,34,17.5,801500,2,2,2,6,0,0,휴면/이탈위험
C100333,9,9.0,469800,4,1,2,7,0,0,휴면/이탈위험
C100334,1,59.2,858400,5,4,3,12,0,0,휴면/이탈위험
C100335,0,115.2,3260200,5,5,5,15,3,0,성장 잠재고객
C100336,61,1.5,69400,1,1,1,3,2,1,일반 유지고객
C100337,20,6.3,216700,3,1,1,5,0,0,휴면/이탈위험
C100338,5,102.0,2917200,4,5,5,14,3,0,성장 잠재고객
C100339,17,4.8,182900,3,1,1,5,0,0,휴면/이탈위험
C100340,19,60.8,2693400,3,4,5,12,3,1,성장 잠재고객
C100341,6,25.6,954900,4,2,3,9,0,0,휴면/이탈위험
C100342,31,50.4,1239800,2,4,3,9,0,0,휴면/이탈위험
C100343,7,74.0,2560400,4,4,5,13,3,0,성장 잠재고객
C100344,0,31.2,1638000,5,3,4,12,0,0,휴면/이탈위험
C100345,6,39.6,665300,4,3,2,9,0,0,휴면/이탈위험
C100346,21,9.0,495000,3,1,2,6,0,0,휴면/이탈위험
C100347,18,14.3,120100,3,1,1,5,0,0,휴면/이탈위험
C100348,5,56.1,2345000,4,4,4,12,3,0,성장 잠재고객
C100349,0,12.4,432800,5,1,2,8,0,0,휴면/이탈위험
C100350,33,39.0,1587300,2,3,4,9,0,0,휴면/이탈위험
C100351,23,44.0,1293600,2,3,3,8,0,0,휴면/이탈위험
C100352,22,40.3,1511200,2,3,4,9,0,1,휴면/이탈위험
C100353,27,41.6,773800,2,3,2,7,0,0,휴면/이탈위험
C100354,20,11.2,359500,3,1,1,5,0,1,휴면/이탈위험
C100355,55,28.7,1219700,1,3,3,7,2,0,일반 유지고객
C100356,0,9.9,285100,5,1,1,7,0,0,휴면/이탈위험
C100357,28,37.8,2037400,2,3,4,9,0,0,휴면/이탈위험
C100358,30,8.4,180600,2,1,1,4,0,0,휴면/이탈위험
C100359,0,25.2,972700,5,2,3,10,0,0,휴면/이탈위험
C100360,16,27.0,756000,3,2,2,7,0,0,휴면/이탈위험
C100361,10,127.6,5129500,4,5,5,14,3,1,성장 잠재고객
C100362,61,11.0,184800,1,1,1,3,2,1,일반 유지고객
C100363,21,5.2,190300,3,1,1,5,0,1,휴면/이탈위험
C100364,12,25.9,997200,3,2,3,8,0,1,휴면/이탈위험
C100365,59,73.5,2638600,1,4,5,10,2,0,일반 유지고객
C100366,24,148.2,8165800,2,5,5,12,1,0,VIP 충성고객
C100367,41,16.9,410700,1,2,1,4,2,1,일반 유지고객
C100368,39,30.4,893800,1,3,3,7,2,1,일반 유지고객
C100369,106,28.6,1309900,1,3,3,7,2,1,일반 유지고객
C100370,10,65.0,3009500,4,4,5,13,3,0,성장 잠재고객
C100371,7,122.1,5946300,4,5,5,14,3,0,성장 잠재고객
C100372,32,18.0,577800,2,2,2,6,0,1,휴면/이탈위험
C100373,31,27.5,808500,2,3,2,7,0,0,휴면/이탈위험
C100374,41,16.1,714800,1,2,2,5,2,1,일반 유지고객
C100375,14,29.7,591000,3,3,2,8,0,0,휴면/이탈위험
C100376,17,13.2,616400,3,1,2,6,0,1,휴면/이탈위험
C100377,48,22.4,772800,1,2,2,5,2,0,일반 유지고객
C100378,0,126.0,4082400,5,5,5,15,3,0,성장 잠재고객
C100379,21,55.0,1600500,3,4,4,11,0,0,휴면/이탈위험
C100380,55,74.8,2992000,1,4,5,10,2,0,일반 유지고객
C100381,26,130.2,4374700,2,5,5,12,3,0,성장 잠재고객
C100382,21,84.6,423000,3,5,2,10,0,0,휴면/이탈위험
C100383,20,9.6,352300,3,1,1,5,0,1,휴면/이탈위험
C100384,15,14.4,244800,3,1,1,5,0,0,휴면/이탈위험
C100385,5,18.5,292300,4,2,1,7,0,0,휴면/이탈위험
C100386,0,355.5,10096200,5,5,5,15,1,0,VIP 충성고객
C100387,7,9.6,492500,4,1,2,7,0,0,휴면/이탈위험
C100388,23,17.6,457600,2,2,2,6,0,0,휴면/이탈위험
C100389,13,23.4,961700,3,2,3,8,0,0,휴면/이탈위험
C100390,55,118.4,3990100,1,5,5,11,3,0,성장 잠재고객
C100391,0,72.0,2498400,5,4,4,13,3,0,성장 잠재고객
C100392,10,208.0,5532800,4,5,5,14,1,0,VIP 충성고객
C100393,8,40.0,1592000,4,3,4,11,0,0,휴면/이탈위험
C100394,0,132.0,3484800,5,5,5,15,3,0,성장 잠재고객
C100395,0,61.6,2464000,5,4,4,13,3,0,성장 잠재고객
C100396,3,48.0,1387200,4,4,3,11,0,0,휴면/이탈위험
C100397,0,410.4,15225800,5,5,5,15,1,0,VIP 충성고객
